#Tamanho, Bubble Sort, Insertion Sort, Selection Sort
0, 0, 0, 0
5, 10, 4, 10
10, 45, 9, 45
15, 105, 14, 105
20, 190, 19, 190
25, 300, 24, 300
30, 435, 29, 435
35, 595, 34, 595
40, 780, 39, 780
45, 990, 44, 990
50, 1225, 49, 1225
55, 1485, 54, 1485
60, 1770, 59, 1770
65, 2080, 64, 2080
70, 2415, 69, 2415
75, 2775, 74, 2775
80, 3160, 79, 3160
85, 3570, 84, 3570
90, 4005, 89, 4005
95, 4465, 94, 4465
100, 4950, 99, 4950
